Class,Method,Tightness,Overlap
org/assertj/core/api/AbstractIterableAssert,flatExtracting,0.008695652173913044,0.9519230769230769
org/assertj/core/api/AbstractIterableAssert,element,0.009523809523809525,1.0
org/assertj/core/api/AbstractObjectArrayAssert,flatExtracting,0.00847457627118644,0.9532710280373832
org/assertj/core/api/AbstractSoftAssertions,getFirstStackTraceElementFromTest,0.009615384615384616,0.9770114942528736
org/assertj/core/api/AtomicReferenceArrayAssert,flatExtracting,0.008547008547008548,0.9528301886792453
org/assertj/core/api/ClassBasedNavigableIterableAssert,buildAssert,0.009259259259259259,1.0
org/assertj/core/api/ClassBasedNavigableListAssert,buildAssert,0.009259259259259259,1.0
org/assertj/core/api/IterableAssert,startsWith,0.008130081300813009,0.9487179487179487
org/assertj/core/api/ListAssert,startsWith,0.008547008547008548,0.9459459459459459
org/assertj/core/error/uri/ShouldHaveParameter,shouldHaveParameter,0.009433962264150943,0.9523809523809523
org/assertj/core/internal/Arrays,assertContainsExactly,0.006944444444444444,0.9624060150375939
org/assertj/core/internal/Arrays,assertContainsOnlyOnce,0.009433962264150943,0.93
org/assertj/core/internal/Arrays,assertDoesNotContainSubsequence,0.009345794392523364,0.978494623655914
org/assertj/core/internal/Arrays,assertIsSorted,0.008620689655172414,0.9636363636363636
org/assertj/core/internal/Arrays,assertIsSortedAccordingToComparator,0.009259259259259259,0.9611650485436893
org/assertj/core/internal/Classes,assertHasOnlyPublicFields,0.008547008547008548,0.9351851851851852
org/assertj/core/internal/Classes,assertHasOnlyDeclaredFields,0.008264462809917356,0.9375
org/assertj/core/internal/Classes,assertHasPublicMethods,0.008333333333333333,0.956140350877193
org/assertj/core/internal/Comparables,assertIsBetween,0.005235602094240838,0.9148936170212766
org/assertj/core/internal/Dates,assertIsEqualWithPrecision,0.008064516129032258,0.9752066115702479
org/assertj/core/internal/Dates,$SWITCH_TABLE$java$util$concurrent$TimeUnit,0.009615384615384616,0.9803921568627451
org/assertj/core/internal/DeepDifference,determineDifferences,0.001610305958132045,0.9406919275123559
org/assertj/core/internal/DeepDifference,initStack,0.0055248618784530384,0.9352941176470588
org/assertj/core/internal/DeepDifference,compareUnorderedCollection,0.009009009009009009,0.9223300970873787
org/assertj/core/internal/DeepDifference,compareUnorderedMap,0.007246376811594203,0.9609375
org/assertj/core/internal/DeepDifference,deepHashCode,0.004672897196261682,0.9554455445544554
org/assertj/core/internal/Failures,threadDumpDescription,0.008771929824561403,0.99
org/assertj/core/internal/Files,assertSameContentAs,0.00819672131147541,1.0
org/assertj/core/internal/Iterables,assertContainsOnlyOnce,0.008928571428571428,0.9320388349514563
org/assertj/core/internal/Iterables,assertContainsExactly,0.007246376811594203,0.9689922480620154
org/assertj/core/internal/Lists,assertIsSorted,0.009345794392523364,0.9702970297029703
org/assertj/core/internal/Lists,assertIsSortedAccordingToComparator,0.00909090909090909,0.9619047619047619
org/assertj/core/internal/Maps,assertContainsExactly,0.007633587786259542,0.9590163934426229
org/assertj/core/internal/ObjectArrays,assertDoesNotHaveAnyElementsOfTypes,0.008771929824561403,0.9411764705882353
org/assertj/core/internal/Objects,assertIsEqualToIgnoringNullFields,0.006535947712418301,0.958041958041958
org/assertj/core/internal/Objects,isEqualToComparingOnlyGivenFields,0.009900990099009901,0.9666666666666667
org/assertj/core/internal/Objects,isEqualToIgnoringGivenFields,0.008,0.956140350877193
org/assertj/core/internal/Objects,assertHasNoNullFieldsOrPropertiesExcept,0.009900990099009901,0.9354838709677419
org/assertj/core/internal/Strings,assertContains,0.008928571428571428,0.9428571428571428
org/assertj/core/internal/Strings,assertContainsSequence,0.005208333333333333,0.9550561797752809
org/assertj/core/internal/Uris,getParameters,0.007142857142857143,0.9453125
org/assertj/core/presentation/StandardRepresentation,toStringOf,0.002898550724637681,0.9040697674418605
org/assertj/core/presentation/StandardRepresentation,toStringOf,0.008620689655172414,0.990990990990991
org/assertj/core/presentation/StandardRepresentation,toStringOf,0.009433962264150943,0.9693877551020408
org/assertj/core/presentation/StandardRepresentation,format,0.005780346820809248,0.9461077844311377
org/assertj/core/presentation/StandardRepresentation,formatPrimitiveArray,0.008695652173913044,0.9541284403669725
org/assertj/core/presentation/StandardRepresentation,format,0.008064516129032258,0.9478260869565217
org/assertj/core/util/DateUtil,formatTimeDifference,0.002976190476190476,0.9256965944272446
org/assertj/core/util/diff/DiffUtils,parseUnifiedDiff,0.002380952380952381,0.9411764705882353
org/assertj/core/util/diff/DiffUtils,generateUnifiedDiff,0.005154639175257732,0.9835164835164835
org/assertj/core/util/diff/DiffUtils,processDeltas,0.002857142857142857,1.0222222222222221
org/assertj/core/util/diff/myers/MyersDiff,buildPath,0.0035335689045936395,0.9920318725099602
org/assertj/core/util/diff/myers/MyersDiff,buildRevision,0.004761904761904762,0.9792746113989638
org/assertj/core/util/introspection/FieldSupport,readSimpleField,0.00909090909090909,1.0686274509803921
org/assertj/core/util/introspection/FieldUtils,getField,0.005813953488372093,0.950920245398773
org/assertj/core/util/Strings$StringsToJoin,with,0.008620689655172414,0.9357798165137615
org/assertj/core/util/URLs,loadContents,0.00819672131147541,0.9557522123893806
