Name,TotalOccurrences,AlwaysUsed
"org.assertj.core.internal.TypeComparators  ",70,False
"org.assertj.core.error.DescriptionFormatter  ",3,False
"org.assertj.core.api.AbstractCharSequenceAssert  ",1,False
"org.assertj.core.configuration.ConfigurationProvider  ",50,False
"org.assertj.core.util.Lists  ",26,False
"org.assertj.core.api.Condition  ",6,False
"org.assertj.core.api.Assertions  ",44,False
"org.assertj.core.api.AbstractObjectAssert  ",24,False
"org.assertj.core.internal.Strings  ",8,False
"org.assertj.core.api.WritableAssertionInfo  ",55,False
"org.assertj.core.extractor.ByNameSingleExtractorTest$EmployeeWithOverriddenName  ",2,False
"org.assertj.core.groups.Properties_extractProperty_Test$TestItem  ",8,False
"org.assertj.core.groups.FieldsOrPropertiesExtractor  ",8,False
"org.assertj.core.util.introspection.FieldUtils  ",28,False
"org.assertj.core.api.AbstractBooleanAssert  ",14,False
"org.assertj.core.util.Strings$StringsToJoin  ",8,False
"org.assertj.core.internal.CommonValidations  ",16,False
"org.assertj.core.util.Compatibility$System  ",22,False
"org.assertj.core.internal.Objects  ",128,False
"org.assertj.core.description.Description  ",4,False
"org.assertj.core.internal.Iterables  ",32,False
"org.assertj.core.extractor.ByNameSingleExtractorTest$BrokenEmployee  ",1,False
"org.assertj.core.condition.AnyOf_matches_Test  ",4,False
"org.assertj.core.internal.IterableDiff  ",32,False
"org.assertj.core.api.Assertions_tuple_Test  ",1,False
"org.assertj.core.test.Name  ",24,False
"org.assertj.core.util.introspection.PropertyOrFieldSupport  ",73,False
"org.assertj.core.configuration.Services  ",11,False
"org.assertj.core.condition.AnyOf  ",4,False
"org.assertj.core.util.introspection.FieldSupport  ",36,False
"org.assertj.core.error.BasicErrorMessageFactory  ",2,False
"org.assertj.core.api.Assertions_assertThat_with_Boolean_Test  ",2,False
"org.assertj.core.api.AbstractListAssert  ",8,False
"org.assertj.core.util.introspection.PropertySupport  ",71,False
"org.assertj.core.groups.Tuple  ",2,False
"org.assertj.core.error.MessageFormatter  ",13,False
"org.assertj.core.api.TestCondition  ",8,False
"org.assertj.core.test.ExpectedException  ",56,False
"org.assertj.core.api.AbstractAssert  ",35,False
"org.assertj.core.internal.ComparatorBasedComparisonStrategy  ",1,False
"org.assertj.core.condition.Join  ",4,False
"org.assertj.core.error.ShouldNotHaveDuplicates  ",3,False
"org.assertj.core.internal.Booleans  ",24,False
"org.assertj.core.util.introspection.MemberUtils  ",12,False
"org.assertj.core.internal.Arrays  ",4,False
"org.assertj.core.error.ShouldNotHaveDuplicates_create_Test  ",4,False
"org.assertj.core.api.Assertions_assertThat_with_Character_Test  ",2,False
"org.assertj.core.util.Arrays  ",106,False
"org.assertj.core.util.introspection.ClassUtils  ",19,False
"org.assertj.core.data.MapEntry  ",4,False
"org.assertj.core.presentation.StandardRepresentation  ",76,False
"org.assertj.core.api.AssertionsForInterfaceTypes  ",4,False
"org.assertj.core.groups.Properties  ",13,False
"org.assertj.core.api.ListAssert  ",4,False
"org.assertj.core.util.Objects  ",57,False
"org.assertj.core.internal.Predicates  ",1,False
"org.assertj.core.util.ArrayWrapperList  ",28,False
"org.assertj.core.internal.Comparables  ",3,False
"org.assertj.core.internal.StandardComparisonStrategy  ",89,False
"org.assertj.core.internal.Lists  ",8,False
"org.assertj.core.description.TextDescription_constructor_Test  ",3,False
"org.assertj.core.description.TextDescription  ",2,False
"org.assertj.core.internal.Characters  ",3,False
"org.assertj.core.util.introspection.Introspection  ",96,False
"org.assertj.core.util.Preconditions  ",310,False
"org.assertj.core.api.AssertionsForClassTypes  ",39,False
"org.assertj.core.extractor.ByNameSingleExtractorTest  ",19,False
"org.assertj.core.util.Strings  ",40,False
"org.assertj.core.extractor.Extractors  ",9,False
"org.assertj.core.internal.TypeComparators_Test  ",21,False
"org.assertj.core.groups.Properties_extractProperty_Test  ",4,False
"org.assertj.core.extractor.ByNameSingleExtractorTest$EmployeeWithBrokenName  ",1,False
"org.assertj.core.extractor.ByNameSingleExtractor  ",19,False
"org.assertj.core.internal.Conditions  ",48,False
"org.assertj.core.data.MapEntry_toString_Test  ",2,False
"org.assertj.core.test.Employee  ",26,False
"org.assertj.core.util.IterableUtil  ",10,False
"org.assertj.core.api.AbstractIterableAssert  ",20,False
"org.assertj.core.internal.Failures  ",36,False
"org.assertj.core.internal.StandardComparisonStrategy_stringContains_Test  ",1,False
